Site,Collection Date,Sample ID,Leave samples with AL initial for me to run :) They have very little sample left,Year,Sample Type,Species,Borrelia ,Tissue Extraction date  (day 1),Tissue Extraction individual LAST name,"OspA
nPCR date","OspA
nPCR person","OspA
nPCR result","OspA
gel date","OspA
gel person","OspA
Sequence Date",ospA_genotype,Genbank Accession # ospA,"OspA
Sequence Result",Notes,"OspB
nPCR date","OspB
nPCR person","OspB
nPCR result","OspB
gel date","OspB
gel person","OspB
Sequence Date",ospB_genotype,Genbank Accession # ospB,"OspB
Sequence Result",Notes,"p35
nPCR date",p35 PCR person,"p35
nPCR result","p35
gel date","p35
gel person","p35
Sequence Date",p35_genotype,Genbank Accession # p35,"p35
Sequence Result",Notes,"OspC
nPCR date","OspC
nPCR person","OspC
nPCR result","OspC
gel date","OspC
gel person","OspC
Sequence Date",ospC_genotype,Genbank Accession # ospC,"OspC
Sequence Result",Notes
CCSP,4/19/2018,18CCSP.340,AL,2018,Tick,IPAC,B. burgdorferi,10/15/18,Eric,2/6/25,Anahei,pos,2/7/25,Anahei,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,4/19/2018,18CCSP.342,Cant find,2018,Tick,IPAC,B. burgdorferi,10/15/18,Eric,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,4/19/2018,18CCSP.502,AL,2018,Tick,IPAC,B. burgdorferi,10/15/18,Sukhie,2/6/25,Anahei,pos,2/7/25,Anahei,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,4/19/2018,18CCSP.605,,2018,Tick,IPAC,B. burgdorferi,10/22/18,Eric,,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,4/19/2018,18CCSP.613,,2018,Tick,IPAC,B. burgdorferi,10/22/18,Eric,,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,5/28/2018,18CCSP.723,AL,2018,Tick,IPAC,B. burgdorferi,10/22/18,Eric,2/6/25,Anahei,pos,2/7/25,Anahei,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,5/28/2018,18CCSP.734,AL,2018,Tick,IPAC,B. burgdorferi,10/29/18,Sukhie,2/6/25,Anahei,pos,2/7/25,Anahei,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,5/28/2018,18CCSP.777,,2018,Tick,IPAC,B. burgdorferi,11/1/18,Eric,,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,5/28/2018,18CCSP.778,,2018,Tick,IPAC,B. burgdorferi,11/1/18,Eric,,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,5/28/2018,18CCSP.779,,2018,Tick,IPAC,B. burgdorferi,11/1/18,Eric,,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,5/28/2018,18CCSP.795,AL,2018,Tick,IPAC,B. burgdorferi,11/1/18,Eric,2/6/25,Anahei,neg,2/7/25,Anahei,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,5/28/2018,18CCSP.797,,2018,Tick,IPAC,B. burgdorferi,11/1/18,Eric,,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,5/28/2018,18CCSP.810,,2018,Tick,IPAC,B. burgdorferi,11/7/18,Eric,,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,5/28/2018,18CCSP.823,,2018,Tick,IPAC,B. burgdorferi,11/7/18,Eric,,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,5/28/2018,18CCSP.827,AL,2018,Tick,IPAC,B. burgdorferi,11/7/18,Eric,2/6/25,Anahei,neg,2/7/25,Anahei,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,4/19/2018,18CCSP.527,AL,2018,Tick,IPAC,B. burgdorferi,12/1/18,Jordan,2/6/25,Anahei,neg,2/7/25,Anahei,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,4/19/2018,18CCSP.343,AL,2018,Tick,IPAC,B. burgdorferi,10/15/18,Eric,2/6/25,Anahei,neg,2/7/25,Anahei,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,4/19/2018,18CCSP.346,,2018,Tick,IPAC,B. burgdorferi ,10/15/18,Sukhie,,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,4/19/2018,18CCSP.501,,2018,Tick,IPAC,B. burgdorferi,10/15/18,Sukhie,,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,4/20/2018,18CCSP.263,,2018,Tick,IPAC,B. burgdorferi,10/15/18,Eric,,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,5/28/2018,18CCSP.801,AL,2018,Tick,IPAC,B. burgdorferi,11/1/18,Eric,2/6/25,Anahei,neg,2/7/25,Anahei,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,5/28/2018,18CCSP.826,,2018,Tick,IPAC,B. burgdorferi,11/7/18,Eric,,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,5/28/2018,18CCSP.828,,2018,Tick,IPAC,B. burgdorferi,11/7/18,Eric,,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,5/28/2018,18CCSP.812,,2018,Tick,IPAC,"B. burgdorferi, B. miyamotoi",11/7/18,Eric,,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
FL,4/13/18,18FL.018,AL,2018,Tick,IPAC,B. burgdorferi,11/20/18,Sambado,2/6/25,Anahei,neg,2/7/25,Anahei,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
FL,4/13/18,18FL.022,Not enough,2018,Tick,IPAC,B. burgdorferi,11/20/18,Sambado,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
FL,5/17/18,18FL.014,AL,2018,Tick,IPAC,B. burgdorferi,11/20/18,Sambado,2/6/25,Anahei,neg,2/7/25,Anahei,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
FL,5/17/18,18FL.110,AL,2018,Tick,IPAC,B. burgdorferi,11/20/18,Sambado,2/6/25,Anahei,neg,2/7/25,Anahei,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
FL,4/13/18,18FL.015,AL,2018,Tick,IPAC,B. burgdorferi,11/20/18,Sambado,2/6/25,Anahei,neg,2/7/25,Anahei,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
HOS,5/21/18,18HOS.017,Not enough,2018,Tick,IPAC,B. burgdorferi,7/9/18,Jordan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
HOS,5/21/18,18HOS.019,Not enough,2018,Tick,IPAC,B. burgdorferi,7/9/18,Jordan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
HOS,5/21/18,18HOS.020,AL,2018,Tick,IPAC,B. burgdorferi,7/9/18,Jordan,2/6/25,Anahei,neg,2/7/25,Anahei,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
HOS,5/21/18,18HOS.156,AL,2018,Tick,IPAC,B. burgdorferi,7/9/18,Jordan,in progress,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
LFY,4/23/18,18LFY.071,,2018,Tick,IPAC,B. burgdorferi,8/1/18,Jordan,,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
SLRP,5/20/2018,18SLRP.072,Cant find,2018,Tick,IPAC,B. burgdorferi,8/15/18,Jordan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
SLRP,5/20/18,18SLRP.097,,2018,Tick,IPAC,B. burgdorferi,8/16/18,Jordan&Eric,,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
SLRP,4/27/2018,18SLRP.043,AL,2018,Tick,IPAC,B. burgdorferi,8/14/18,Jordan,in progress,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
SLRP,4/27/2018,18SLRP.065,AL,2018,Tick,IPAC,B. burgdorferi,8/15/18,Jordan,in progress,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
SLRP,4/27/2018,18SLRP.071,AL,2018,Tick,IPAC,B. burgdorferi,8/15/18,Jordan,in progress,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
SLRP,4/27/2018,18SLRP.002,Not enough,2018,Tick,IPAC,"B. burgdorferi, B. miyamotoi",8/14/18,Jordan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
TUP,4/15/18,18TUP.089,,2018,Tick,IPAC,B. burgdorferi,8/27/18,Eric,,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
WDLP,4/8/18,18WDLP.398,,2018,Tick,IPAC,B. burgdorferi,7/16/18,Jordan,,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
WH,4/3/18,18WH.074,AL,2018,Tick,IPAC,B. burgdorferi,9/12/18,Sukhie,in progress,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
WH,5/17/18,18WH.115,AL,2018,Tick,IPAC,B. burgdorferi,9/22/18,Eric,in progress,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
WH,5/17/18,18WH.174,AL,2018,Tick,IPAC,B. burgdorferi,10/1/18,Eric,in progress,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
WH,5/17/18,18WH.207,AL,2018,Tick,IPAC,B. burgdorferi,10/5/18,Sukhie,in progress,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
WH,5/17/18,18WH.199,AL,2018,Tick,IPAC,B. burgdorferi,10/1/18,Eric,in progress,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
WH,5/17/18,18WH.200,AL,2018,Tick,IPAC,B. burgdorferi,10/1/18,Eric,in progress,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
WH,5/17/18,18WH.202,Not enough,2018,Tick,IPAC,B. burgdorferi,10/5/18,Sukhie,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
WH,5/17/18,18WH.204,Not enough,2018,Tick,IPAC,B. burgdorferi,10/5/18,Sukhie,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
WH,5/17/18,18WH.209,AL,2018,Tick,IPAC,B. burgdorferi,10/5/18,Sukhie,in progress,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
WH,5/17/18,18WH.210,AL,2018,Tick,IPAC,B. burgdorferi,10/5/18,Sukhie,in progress,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
WH,4/3/18,18WH.017,AL,2018,Tick,IPAC,"B. burgdorferi, B. miyamotoi",9/12/18,Sukhie,in progress,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
WH,5/17/18,18WH.106,,2018,Tick,IPAC,"B. burgdorferi, B. miyamotoi",9/22/18,Eric,,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
WP,5/7/2018,18WP.001,,2018,Tick,IPAC,B. burgdorferi,7/9/18,Jordan,,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
JSCP,4/9/18,2388,,2018,Mammal,NEFU,B. bissettii,7/19/18,Crews,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,10/15/2018,Liliana,neg,,Liliana,,,,,
JSCP,4/9/18,2393,,2018,Mammal,NEFU,B. bissettii,7/19/18,Crews,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,2/20/25,Anahei,pos,2/21/25,Anahei,,,,,
JSCP,4/9/18,A193,,2018,Mammal,PETR,B. bissettii,7/18/18,Almarinez,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,
SMI,4/15/18,A296,,2018,Mammal,MICA,B. burgdorferi,5/31/18,Crews,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,
JSCP,4/9/18,A861,Cant find,2018,Mammal,NEFU,B. burgdorferi,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,4/19/18,3253,,2018,Mammal,PEMA,B. burgdorferi,6/11/18,Crews,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,
CCSP,4/19/18,3201,,2018,Mammal,NEFU,B. burgdorferi ,6/11/18,Crews,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,10/15/2018,Liliana,neg,,Liliana,,,,,
CCSP,4/19/18,3251,,2018,Mammal,PEMA,B. burgdorferi sl,6/11/18,Crews,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,,,,,,,,,
JSCP,4/9/18,A803,,2018,Mammal,PETR,B. burgdorferi,7/23/18,Seredian,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,10/15/2018,Liliana,neg,,Liliana,,,,,
CCSP,4/29/19,19CCSP.002,,2019,Tick,IPAC,B. bissettii,5/20/19,Crews,,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,4/29/19,19CCSP.003,,2019,Tick,IPAC,B. bissettii,5/20/19,Crews,,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,4/29/19,19CCSP.005,Cant find,2019,Tick,IPAC,B. burgdorferi sl,5/20/19,Crews,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,4/29/19,19CCSP.006,,2019,Tick,IPAC,B. bissettii,5/20/19,Crews,,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CCSP,4/29/19,19CCSP.008,AL,2019,Tick,IPAC,B. burgdorferi ,5/20/19,Crews,,,,,,,,,,,,,,,,,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
